AccX,AccY,AccZ,VelX,VelY,VelZ,PosX,PosY,PosZ,QuatW,QuatI,QuatJ,QuatK
-0.534656084023728,-0.351216632236614,-1.68020033819849,-0.0102458548257256,-0.00155639149193394,-0.00694170999784665,0,0,0,0.534068166807562,-0.435637702781296,-0.649027372143311,-0.322109384102659
-0.487059360200122,-0.306408032784638,-1.61925081911768,-0.0153405802424636,-0.00484493272183386,-0.0234418437318117,-0.000127932175340946,-3.2006621068839e-05,-0.000151917768648292,0.533930059436833,-0.435625126362279,-0.649094371064683,-0.322220325807935
-0.440692010211152,-0.268454946726976,-1.55472748426918,-0.0199654852901388,-0.00771966552418559,-0.0393146131961303,-0.000304462503003958,-9.48296122989363e-05,-0.000465700053288002,0.533780255596932,-0.435611842123196,-0.64917001253668,-0.322334076014368
-0.395369223199424,-0.240448993524344,-1.48346544097629,-0.0241319396528105,-0.0102646031302358,-0.0545084557697418,-0.000524949627718705,-0.000184750955571043,-0.000934815398117363,0.533625530643999,-0.435596548745933,-0.649250519671349,-0.322448759451834
-0.351876658702025,-0.223717002496865,-1.40452421537275,-0.0278543172579365,-0.0125858510151356,-0.0689512819988712,-0.00078488091227244,-0.0002990032262979,-0.00155211408696043,0.53347387840651,-0.435577057111864,-0.649332066851513,-0.322561800797967
-0.311958283069177,-0.21732079739394,-1.31973337322701,-0.0311596401624113,-0.0147914579193832,-0.0825754478892542,-0.00107995069937418,-0.000435889770970494,-0.00230974773640106,0.533333149202222,-0.435551065010586,-0.649411200846021,-0.322670286741611
-0.277790480031584,-0.21844552774276,-1.23306920090879,-0.0340945321735339,-0.0169707074498604,-0.0953423387073175,-0.0014062215610539,-0.000594700597816712,-0.00319933666938391,0.533209409426135,-0.435516949079452,-0.649485239458035,-0.322771802501546
-0.25101173625459,-0.223200824025541,-1.14908238998507,-0.0367246914505836,-0.0191793571134955,-0.107255974609171,-0.00176031767917449,-0.000775450920633492,-0.00421232823596636,0.533105832708549,-0.435474074468588,-0.649552634320265,-0.322865106268015
-0.231907949244216,-0.227489015416361,-1.07118474300368,-0.0391254380736964,-0.0214332242154987,-0.118360188221499,-0.00213956832679589,-0.000978513827278463,-0.00534040905011971,0.533022455448334,-0.435422620597381,-0.649613116123299,-0.322950464964081
-0.219308711662897,-0.227971013656856,-1.00072515371061,-0.0413676695738508,-0.0237109422656585,-0.128722615652455,-0.00254203386503363,-0.00120423465968425,-0.00657582306948947,0.532956543418291,-0.435363356235189,-0.649667498182236,-0.323029739622986
-0.211082193641533,-0.223018604921825,-0.93713358438209,-0.0435057722959917,-0.0259663082633455,-0.138414787290302,-0.00296640107438284,-0.00145262091232927,-0.00791151008420326,0.532903368552567,-0.435297539810955,-0.649717276547623,-0.32310603859321
-0.204771110330446,-0.213097138999591,-0.878817694608817,-0.0455711870114704,-0.0281473048877463,-0.147497421632641,-0.00341178587092015,-0.00172318897808473,-0.00934107112881798,0.53285733948785,-0.43522680809548,-0.649764262190008,-0.323182742190273
-0.198126880071697,-0.200213578611854,-0.824344625731206,-0.0475718251590999,-0.0302142763805971,-0.156016111181725,-0.003877500931773,-0.00201499688442645,-0.0108586387928898,0.532813139659442,-0.435153077507784,-0.649810230405813,-0.323262465810211
-0.189541199485564,-0.1868918352896,-0.773173406287891,-0.049496313752505,-0.0321502213548981,-0.164006579289205,-0.00436284162633103,-0.00232681937310392,-0.0124587522452445,0.532766689879541,-0.435078414708433,-0.649856420880787,-0.323346655231823
-0.178388986423732,-0.175124546172852,-0.725535073745764,-0.0513221128776703,-0.033960721167004,-0.171502999636758,-0.0048669337594819,-0.00265737408571343,-0.0141363001398743,0.532716072623849,-0.435004575025654,-0.649903092753426,-0.323435582001277
-0.165210225575032,-0.165518636582958,-0.681929688195129,-0.0530262571332829,-0.0356643549855767,-0.178543201393846,-0.00538867560953667,-0.00300549946647633,-0.0158865311450273,0.532662038099515,-0.43493235028437,-0.649949550066533,-0.323528339117453
-0.151576231549337,-0.157102510703412,-0.642667668651032,-0.0545963376145235,-0.0372778786268022,-0.185169066125461,-0.0059267885832757,-0.00337021063453823,-0.0177050924826238,0.532607507114989,-0.434861326773973,-0.649994632706549,-0.323623001799649
-0.139515321521424,-0.14800736455597,-0.607438551839234,-0.0560379435754961,-0.0388038459078928,-0.191422475175297,-0.0064799599892258,-0.0037506192572117,-0.0195880501891276,0.532556286249342,-0.434790231833319,-0.650037342274896,-0.323717021373341
-0.130603444258399,-0.136609720997387,-0.575116879809461,-0.057374685600014,-0.0402273492404532,-0.197338130280925,-0.00704702313510335,-0.00414577523295343,-0.0215318532164087,0.532511680388798,-0.434717552551338,-0.650077324504057,-0.323807708245064
-0.12517177960571,-0.122394145776531,-0.544096061649369,-0.0586397099149534,-0.0415227864791164,-0.202937072935603,-0.00762709511267819,-0.00455452591155128,-0.0235332292324914,0.532475430227263,-0.434642160143922,-0.650114989534883,-0.323892897748278
-0.12209552593126,-0.106073887810966,-0.512788993670104,-0.059862194638257,-0.0426655445518476,-0.208224376159585,-0.00821960463544424,-0.0049754675667061,-0.0255890364779673,0.532447168622067,-0.434563852232898,-0.650151143935427,-0.323971852169759
-0.119193707601304,-0.0891263243063269,-0.479728446082559,-0.0610547890015386,-0.0436419635172277,-0.213189841305732,-0.00882418955364322,-0.00540700510705148,-0.0276961075652939,0.532424566315518,-0.434483658867256,-0.650186296736408,-0.324046001205461
-0.113983778281917,-0.0730878011777212,-0.443528550528847,-0.0622068246265735,-0.0444534520494416,-0.217809004236173,-0.00944049762178378,-0.00584748218488482,-0.0298511017930034,0.532404279741264,-0.434403578294027,-0.650220092659896,-0.324118875075005
-0.104518835357004,-0.0589071123077967,-0.403274203495115,-0.0632854858903869,-0.0451138445216628,-0.222045895953677,-0.0100679591743686,-0.00629531866774035,-0.0320503762939527,0.532383430114182,-0.43432569076298,-0.650251222524673,-0.324195042047665
-0.0900434532046546,-0.0466978505196786,-0.359098401893785,-0.064244445528814,-0.0456422872405939,-0.225860636928006,-0.0107056088314646,-0.00674909932655163,-0.0342899089583611,0.532360829556104,-0.434251246160458,-0.650277736974905,-0.324278687485351
-0.0713469752195964,-0.0359776241423141,-0.31226178803588,-0.0650375458665541,-0.0460560825186975,-0.229220315825039,-0.0113520187884414,-0.00720759117534809,-0.0365653137221263,0.532337392364997,-0.434180309372154,-0.650297454168549,-0.324372595552459
-0.050742798073341,-0.0261321938184553,-0.264580391197694,-0.0656341429286376,-0.046367049513295,-0.232107404668591,-0.0120053772324174,-0.00766970683550805,-0.0388719523245945,0.532315844009981,-0.434111900489022,-0.650308333113961,-0.324477690993222
-0.0314261109181397,-0.0168295224421158,-0.217763967416255,-0.0660311356692138,-0.0465822759993915,-0.234522004409045,-0.0126637036254066,-0.00813445346307148,-0.0412050993699826,0.532299921974134,-0.43404434790968,-0.650308911119334,-0.324593002439636
-0.0162297832321585,-0.00820170685956162,-0.173174386569179,-0.066255563335584,-0.0467078500506935,-0.236479574126356,-0.0133251371204306,-0.00860090409332191,-0.0435601072626596,0.532293261526975,-0.433975722590207,-0.650298744303896,-0.324716028387974
-0.00648100346283398,-0.000699349377248748,-0.131950863101372,-0.0663552654646778,-0.0467527732366712,-0.238008078322093,-0.0139881912644319,-0.00906820720975873,-0.0459325455249019,0.532298473504395,-0.4339041900495,-0.650278576409162,-0.324843442331305
-0.00178622694894875,0.00533313720963657,-0.0953725126911169,-0.0663827498123555,-0.046730022202303,-0.23914757314844,-0.0146518813408171,-0.0095356211869536,-0.0483183237822545,0.532316760542688,-0.433828165721339,-0.650250125022992,-0.324971943373241
-0.000811412443291748,0.0101388305121157,-0.0650556152545263,-0.0663818862049355,-0.0466530802684879,-0.239952591735552,-0.0153157045209036,-0.0100025366993076,-0.0507138246066745,0.532347941633874,-0.433746356876056,-0.650215664604118,-0.325098994828271
-0.00223661208328524,0.0146964881121872,-0.0421856673046519,-0.0663832745231872,-0.04652932158016,-0.240491676095732,-0.0159795303245442,-0.0104684487085508,-0.0531160459458309,0.532390667088296,-0.433657795311666,-0.65017766299819,-0.325223155234856
-0.0051441983751897,0.020329887522691,-0.0260962109833385,-0.0664063267710983,-0.0463546076067793,-0.240835963434556,-0.0166434783310156,-0.0109328683544855,-0.0555226841434824,0.532442692762625,-0.433561947071784,-0.650138535567521,-0.325343974195202
-0.00893709793563841,0.0279859233062515,-0.0137652286497338,-0.0664628814482713,-0.0461134464574282,-0.241038148580106,-0.0173078243721125,-0.0113952086248065,-0.0579320547035557,0.532501020124203,-0.433459062565516,-0.650100393812713,-0.32546179900422
-0.0131600908787719,0.0376607045189626,-0.00103623726411861,-0.0665595155879621,-0.0457856312230958,-0.24111503385706,-0.0179729363572936,-0.0118547040132091,-0.0603428206157415,0.532561801775838,-0.433350738751835,-0.650064781685062,-0.325577708274484
-0.0172994067189907,0.0484418914907174,0.0153444955502917,-0.0666979612715697,-0.0453555361478411,-0.241046370513013,-0.0186392237415913,-0.0123104098500638,-0.0627536276375919,0.532620297034507,-0.433240237540421,-0.650032565571335,-0.325693382584818
-0.0205887596875421,0.0590948473596464,0.0363790149412717,-0.0668735502992212,-0.0448182703583829,-0.240790630907939,-0.0193070812994452,-0.012761278882595,-0.0651628126446966,0.532671272349562,-0.43313211645702,-0.650004058160895,-0.325810696081835
-0.0219747890695016,0.0686190655846584,0.0608623442810357,-0.0670725162386252,-0.044180118698455,-0.240307302059212,-0.0199768116321345,-0.0132062708278791,-0.0675683023095324,0.53270982844051,-0.433031278993177,-0.649979260702949,-0.325931144189172
-0.0203472892410907,0.0764546375101389,0.0866384932099464,-0.0672702748257969,-0.0434551680877747,-0.239572675819141,-0.0206485255874566,-0.0136444472618103,-0.0699677021989242,0.532732300366293,-0.432941902698925,-0.649958084654359,-0.326055353009744
-0.01485604108594,0.0824004268642158,0.112382843042745,-0.0674324396730509,-0.0426613106706966,-0.238580447085262,-0.0213220391599508,-0.0140750296556026,-0.0723584678134462,0.532736884838711,-0.432866611014622,-0.649940526920566,-0.326182801611734
-0.00498612356052258,0.0863364650180374,0.138615296788094,-0.067517798691902,-0.041818044116079,-0.237328334333492,-0.0219967903517756,-0.0144974264295365,-0.07473801172054,0.532723774757732,-0.432806126377894,-0.649926748575538,-0.326311903343511
0.0094528410036292,0.0881217371923056,0.166837211070436,-0.0674816133003052,-0.0409461710098209,-0.235803949741584,-0.0226717874117366,-0.014911247505166,-0.0771036731409153,0.532694811614489,-0.432759520950716,-0.64991688494511,-0.326440618441939
0.028021869606475,0.0879436993378804,0.197528431190499,-0.0672803879428735,-0.0400662617319636,-0.233984999477663,-0.0233455974179525,-0.0153163096688749,-0.0794526178870116,0.53265287863699,-0.432724946234776,-0.649910548771435,-0.326567466814211
0.0493414619283247,0.0865710783567543,0.22912703737075,-0.0668797194808183,-0.0391941057482841,-0.231854600082241,-0.024016397955071,-0.0157126115062762,-0.0817818158848111,0.532601317235018,-0.432700439294475,-0.649906354179888,-0.326692359124757
0.0712500475503028,0.0850165772883509,0.258943732062015,-0.066262910129044,-0.0383365853748522,-0.229417124182462,-0.0246821111031203,-0.0161002649618919,-0.0840881745061346,0.532543600364142,-0.432684332490188,-0.649901842028159,-0.326816734359065
0.091245572076727,0.0838641408645253,0.284735607722592,-0.0654365802265276,-0.0374925996888815,-0.226701605430923,-0.0253406085548981,-0.0164794108872105,-0.0863687681542015,0.532483334325107,-0.432675099337993,-0.649893902511548,-0.32694291941742
0.107013844661471,0.0828796135763799,0.305188106192185,-0.0644314313384554,-0.0366592988214706,-0.223754864808733,-0.025989948612723,-0.0168501703797623,-0.0886210505053998,0.532424346843226,-0.432670882484925,-0.649879617705864,-0.327072935029422
0.116947107147602,0.081349950193886,0.319315677145532,-0.0632977747750288,-0.035838568907413,-0.220635223839429,-0.0266285946432905,-0.0172126597184067,-0.0908430009486406,0.532370311624064,-0.432669296180143,-0.649857217260542,-0.327207470297762
0.1204243481594,0.0788469372807463,0.32629987174708,-0.0620970656941126,-0.0350380023748335,-0.21741002404235,-0.0272555688456362,-0.0175670425748179,-0.0930332271880495,0.532323793018607,-0.432667895875844,-0.649826612058919,-0.327345758372824
0.117879677055531,0.0757424732540805,0.326412919069769,-0.0608916937636568,-0.034265473226953,-0.21414933803565,-0.027870512642925,-0.0179135599528269,-0.0951910239984395,0.532285574425499,-0.432664788945418,-0.649789249084451,-0.327486151523387
0.110604476192749,0.0731629025490988,0.321793806217957,-0.0597354211930342,-0.0335213642527307,-0.210911182356595,-0.0284736482177085,-0.0182524941402253,-0.0973163266004007,0.532255008075222,-0.432658639937406,-0.649747553810626,-0.327626653347171
0.100190439474107,0.0725123995479831,0.315620652309444,-0.0586675948103187,-0.032793405647039,-0.207726988011343,-0.0290656632977252,-0.0185840679897241,-0.0994095174522404,0.532230872569303,-0.432648296158046,-0.649704414944653,-0.327765042854001
0.0881284148433361,0.0748791315849472,0.310074621676699,-0.0577121487343503,-0.032056865896168,-0.204601389588796,-0.0296475620154486,-0.0189083193474402,-0.101471159340241,0.53221177040512,-0.432632790643178,-0.649662862525315,-0.327898863916844
